kohde;jasen;tutkk;pkvp;pvknro;T1;tytyy;Vastaaja;sp;IKAL1;PERHEV;ELVAIHE1;TOIMINTA;ISCO3KA_2;TOLA8KA_2;SOSE;TYOAIKA;TKES;YLSIV;KASTE_2;suuralue2;kunry;TIHEYS;ASALUE;KOKO_2;ANSIOLKM_2;HDESI;V46
50213;2;8;3;1;1;3;2;1;7;4;6;1;21;10;5;NA;NA;3;3;E;1;0.75;1;3;2;8;0
50213;3;8;3;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;2;NA;E;1;0.75;1;3;2;8;440
50214;1;11;7;1;1;1;1;1;6;4;6;1;11;8;5;2;NA;2;NA;B;1;tammi.25;1;4+;2;3;0
50214;2;11;7;1;1;2;1;2;5;4;6;1;9;11;4;2;NA;2;5;B;1;tammi.25;1;4+;2;3;0
50214;3;11;7;1;NA;;1;1;2;1;1;3;;;NA;NA;NA;4;NA;B;1;tammi.25;1;4+;2;3;0
50214;4;11;7;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;B;1;tammi.25;1;4+;2;3;0
50215;1;9;4;1;1;1;1;2;4;3;4;1;15;3;3;2;NA;1;78;B;1;0.50;1;2;2;9;0
50215;2;9;4;1;1;3;1;1;5;3;4;1;15;3;5;2;NA;2;3;B;1;0.50;1;2;2;9;0
50216;1;8;1;1;NA;;1;1;9;2;8;5;;;NA;NA;NA;2;NA;D;1;0.50;1;1;0;3;0
50217;1;10;6;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;1;3;C;2;0.50;2;2;0;8;0
50217;2;10;6;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;1;6;C;2;0.50;2;2;0;8;280
50218;1;12;5;1;1;3;1;1;6;1;1;1;8;13;5;2;NA;3;3;D;1;1.00;1;2;1;7;0
50218;2;12;5;1;NA;;2;2;9;2;8;5;;;NA;NA;NA;3;NA;D;1;1.00;1;2;1;7;0
50219;1;8;7;1;1;2;1;2;7;4;6;1;3;9;3;1;NA;1;6;A;3;0.57;3;4+;3;7;0
50219;2;8;7;1;2;3;1;1;6;4;6;1;10;4;1;2;NA;2;3;A;3;0.57;3;4+;3;7;0
50219;3;8;7;1;2;3;1;1;3;1;1;1;11;6;1;2;NA;1;3;A;3;0.57;3;4+;3;7;0
50219;4;8;7;1;NA;;1;1;2;1;1;3;;;NA;NA;NA;3;NA;A;3;0.57;3;4+;3;7;0
50220;1;11;7;1;1;1;1;2;7;3;7;1;6;9;3;2;NA;1;78;C;1;0.50;1;2;2;10;0
50220;2;11;7;1;1;3;1;1;7;3;7;1;12;13;3;1;NA;1;78;C;1;0.50;1;2;2;10;0
50221;1;9;7;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;5;D;2;0.75;3;3;0;4;0
50221;2;9;7;1;NA;;1;2;9;3;7;5;;;NA;NA;NA;3;3;D;2;0.75;3;3;0;4;0
50221;3;9;7;1;NA;;1;1;6;1;1;3;;;NA;NA;NA;2;3;D;2;0.75;3;3;0;4;0
50222;1;9;7;1;1;3;1;2;6;2;8;1;16;2;5;2;NA;3;3;A;2;0.25;1;1;1;5;0
50223;1;3;1;1;1;1;1;1;6;3;7;1;10;9;3;NA;NA;1;78;A;1;0.50;2;2;1;10;0
50224;1;3;7;1;1;2;1;2;5;5;3;1;13;4;3;2;NA;2;6;B;1;1.00;1;4+;1;2;0
50225;1;8;2;1;1;2;1;2;7;3;7;1;17;2;4;1;NA;3;3;B;1;0.67;1;2;1;9;0
50225;2;8;2;1;NA;;1;1;7;3;7;5;;;NA;NA;NA;3;3;B;1;0.67;1;2;1;9;0
50226;1;6;3;1;NA;;2;2;4;4;5;6;;;NA;NA;NA;1;6;D;1;tammi.20;1;4+;1;3;0
50226;2;6;3;1;1;2;1;1;5;4;5;1;9;14;3;2;NA;1;6;D;1;tammi.20;1;4+;1;3;0
50226;3;6;3;1;NA;;2;2;1;1;1;3;;;NA;NA;NA;3;NA;D;1;tammi.20;1;4+;1;3;0
50227;1;7;2;1;NA;;1;2;8;2;8;5;;;NA;NA;NA;1;6;D;2;0.50;1;1;0;7;0
50228;1;10;6;1;NA;;1;2;7;3;7;2;;;NA;NA;NA;3;NA;D;3;0.50;2;2;0;3;0
50228;2;10;6;1;NA;;1;1;7;3;7;5;;;NA;NA;NA;3;NA;D;3;0.50;2;2;0;3;0
50229;1;6;1;1;NA;;1;1;2;2;2;3;;;NA;NA;21;1;3;E;1;0.50;1;1;0;1;90
50230;1;4;7;1;NA;;1;1;2;1;1;3;;;NA;NA;NA;2;NA;A;1;1.00;1;4+;2;4;0
50230;2;4;7;1;3;3;1;1;6;4;6;1;8;1;2;2;NA;2;3;A;1;1.00;1;4+;2;4;0
50230;3;4;7;1;1;3;1;2;6;4;6;1;1;2;4;2;NA;1;5;A;1;1.00;1;4+;2;4;0
50230;4;4;7;1;NA;;1;1;2;1;1;3;;;NA;NA;NA;2;NA;A;1;1.00;1;4+;2;4;0
50231;1;6;7;1;NA;;1;2;2;1;1;3;;;NA;NA;18;2;NA;C;1;0.75;1;3;1;7;40
50231;2;6;7;1;1;3;1;2;6;4;6;1;20;5;4;2;NA;1;5;C;1;0.75;1;3;1;7;0
50232;1;3;2;1;NA;;2;1;2;1;1;3;;;NA;NA;NA;2;NA;A;1;1.00;1;4+;2;6;500
